"","file","pat","block","diag","ch"
"85","cyclic-003204_13__prestain_position13_K5.gpr","p13_c","1","B","R"
"86","cyclic-003204_13__prestain_position14_NV.gpr","p14_c","1","B","R"
"87","cyclic-003204_13__prestain_position15_LG.gpr","p15_c","1","B","R"
"88","cyclic-003204_13__prestain_position16_SK.gpr","p16_c","1","B","R"
"89","cyclic-003204_13__prestain_position2_K2.gpr","p2_c","1","B","R"
"90","cyclic-003204_13__prestain_position3_PG.gpr","p3_c","1","B","R"
"91","cyclic-003204_13__prestain_position4_AA.gpr","p4_c","1","B","R"
"92","cyclic-003204_13__prestain_position5_K3.gpr","p5_c","1","B","R"
"93","cyclic-003204_13__prestain_position6_TG.gpr","p6_c","1","B","R"
"94","cyclic-003204_13__prestain_position7_MS.gpr","p7_c","1","B","R"
"95","cyclic-003204_13__prestain_position8_AM.gpr","p8_c","1","B","R"
"96","cyclic-003204_13__prestain_position9_PS.gpr","p9_c","1","B","R"
"97","linear_003216_02__prestain_position1_RG.gpr","p1_l","1","B","R"
"98","linear_003216_02__prestain_position10_K4.gpr","p10_l","1","B","R"
"99","linear_003216_02__prestain_position11_RK.gpr","p11_l","1","B","R"
"100","linear_003216_02__prestain_position12_VS.gpr","p12_l","1","B","R"
"101","linear_003216_02__prestain_position13_K5.gpr","p13_l","1","B","R"
"102","linear_003216_02__prestain_position14_NV.gpr","p14_l","1","B","R"
"103","linear_003216_02__prestain_position15_LG.gpr","p15_l","1","B","R"
"104","linear_003216_02__prestain_position16_SK.gpr","p16_l","1","B","R"
"105","linear_003216_02__prestain_position2_K2.gpr","p2_l","1","B","R"
"106","linear_003216_02__prestain_position3_PG.gpr","p3_l","1","B","R"
"107","linear_003216_02__prestain_position4_AA.gpr","p4_l","1","B","R"
"108","linear_003216_02__prestain_position5_K3.gpr","p5_l","1","B","R"
"109","linear_003216_02__prestain_position6_TG.gpr","p6_l","1","B","R"
"110","linear_003216_02__prestain_position7_MS.gpr","p7_l","1","B","R"
"111","linear_003216_02__prestain_position8_AM.gpr","p8_l","1","B","R"
"112","linear_003216_02__prestain_position9_PS.gpr","p9_l","1","B","R"
"113","linear_003216_02_sera__position1_RG.gpr","p1_l","1","A","R"
"114","linear_003216_02_sera__position10_K4.gpr","p10_l","1","K","R"
"115","linear_003216_02_sera__position11_RK.gpr","p11_l","1","F","R"
"116","linear_003216_02_sera__position12_VS.gpr","p12_l","1","X","R"
"117","linear_003216_02_sera__position13_K5.gpr","p13_l","1","K","R"
"118","linear_003216_02_sera__position14_NV.gpr","p14_l","1","A","R"
"119","linear_003216_02_sera__position15_LG.gpr","p15_l","1","X","R"
"120","linear_003216_02_sera__position16_SK.gpr","p16_l","1","F","R"
"121","linear_003216_02_sera__position2_K2.gpr","p2_l","1","K","R"
"122","linear_003216_02_sera__position3_PG.gpr","p3_l","1","F","R"
"123","linear_003216_02_sera__position4 _AA.gpr","p4_l","1","X","R"
"124","linear_003216_02_sera__position5_K3.gpr","p5_l","1","K","R"
"125","linear_003216_02_sera__position6_TG.gpr","p6_l","1","A","R"
"126","linear_003216_02_sera__position7_MS.gpr","p7_l","1","X","R"
"127","linear_003216_02_sera__position8_AM.gpr","p8_l","1","F","R"
"128","linear_003216_02_sera__position9_PS.gpr","p9_l","1","A","R"
